epoch,train_total_loss,train_reconstruction_error,val_total_loss,val_reconstruction_error
0,0.3241741892785336,0.08993811478316728,0.24248180559673288,0.0693741592251528
1,0.1998685148111785,0.06215965702051413,0.1628927932215665,0.057880706500554636
2,0.12961443047125915,0.05537622742452777,0.10400269541846127,0.05246539601833731
3,0.08908137458326772,0.050300657911205124,0.07845079901491402,0.04754659858331814
4,0.06920835592766923,0.043722598024530365,0.058273662644064146,0.03569533088477082
5,0.05080492169012433,0.0324710540645143,0.043077355542677144,0.028358316492169897
6,0.039592564824431464,0.0273852215836098,0.035493602936181354,0.024716061731362822
7,0.034349110666969274,0.024892956340782358,0.031746983472205365,0.02324671821195374
8,0.029163504257596864,0.02355241738314951,0.02606118823653897,0.022152159664915714
9,0.026007793830990705,0.022652843099017838,0.024313718951810788,0.0214680827725659
10,0.024436353149236232,0.021937128299491817,0.023172378805018212,0.02100095708687849
11,0.02337760226113276,0.021459439631834883,0.022374174905847068,0.020683033476305148
12,0.02252967419372032,0.021028799275648213,0.021711939846173024,0.02038543514940821
13,0.021938305019962773,0.020744752684580866,0.021197427528037407,0.020149949188391747
14,0.02154180333818106,0.0205783416220083,0.02093842988576269,0.02006912124239882
15,0.021090969492964184,0.020305519106182682,0.02056986779588307,0.01987199648004583
16,0.020773714505495925,0.02012711655442999,0.020297739535862763,0.019722186925671088
17,0.02050784453453178,0.01997084039543186,0.02015938662235632,0.019679754992140645
18,0.020242334438814357,0.019792596224709923,0.019935077254264476,0.019531959728818413
19,0.01998956155603503,0.01961073674490479,0.019774762973453104,0.019431148168236257
20,0.019820470769353404,0.0194993169132607,0.01961846686978393,0.01932360102634453
21,0.019576361334265414,0.019302906237188232,0.019468229963250955,0.019217758040659342
22,0.019423948076879253,0.019189064452149195,0.019395410966990215,0.019182147957891745
23,0.01921609773585173,0.019013305651632454,0.019249548202931,0.0190622623698696
24,0.019056103976042474,0.01888021358548933,0.019068813653381995,0.018906881567746843
25,0.01883265568285094,0.018679894839608073,0.01899217158402131,0.018851971459519556
26,0.018659534264102856,0.01852619391904812,0.018880093345312286,0.018756397075881552
27,0.018502795029043402,0.018386011976316396,0.01883742080374177,0.018726580698035233
28,0.01832420300046272,0.018221427411580116,0.018750620713767797,0.018653560597114933
29,0.018170508716200958,0.018079733842849048,0.018626034465152933,0.018539573942803506
30,0.017946992671058926,0.017866516376871568,0.018519930374211895,0.01844202741841461
31,0.017718158185539942,0.017646405670406443,0.018338294414716124,0.01826890307073798
32,0.017339769720496147,0.017275447868446432,0.018081047983647215,0.018018001850921426
33,0.016878638525122672,0.016820771985794358,0.017735955409716137,0.01767912764934145
34,0.016407098134008466,0.01635498246245256,0.017466175772102733,0.017414449807863344
35,0.01601013933504409,0.01596322275840219,0.017173955350026474,0.017127485714056315
36,0.01558743253217187,0.015545104468779478,0.016931466057380926,0.01689003451564784
37,0.01516496763926109,0.015126848740559385,0.016720279854034736,0.016682754011289026
38,0.014841549050400053,0.014807199024032183,0.0165602318615649,0.01652646712845965
39,0.014495769757125888,0.014464767219186072,0.016383703223278062,0.016353086438180904
40,0.01422953603721296,0.014201474423080203,0.01624444235526629,0.016217091582914307
41,0.01394407355021282,0.013918664124895142,0.016186675895136685,0.016161903969058783
42,0.013746653170161627,0.013723572985878117,0.016038502805374888,0.016015948204206536
43,0.013519403966139935,0.013498400464687064,0.01596826490996633,0.015947956987386016
44,0.013301026520107093,0.01328186896980752,0.015887888754615,0.015869406045413852
45,0.013115627261944972,0.013098061826806113,0.015849783846599356,0.015832652936205033
46,0.012945832972323951,0.012929679361533483,0.015745282548359343,0.01572970541186044
47,0.012780901505011122,0.012765992871517884,0.015716606100159066,0.015702093830314116
48,0.012627370706041467,0.012613554433430816,0.015668560663317226,0.01565516776812544
49,0.012537408422926234,0.012524556907594712,0.015609920206814336,0.01559746128054419
50,0.012413889371367509,0.012401874838029755,0.015586545356328219,0.015574826265912596
51,0.012310440116686918,0.012299161653792651,0.015564022979732865,0.015553120738602308
52,0.012203534894234855,0.01219287424432929,0.015533804981532996,0.015523452462860412
53,0.01211297284300137,0.012102851452998501,0.015516452324513035,0.015506597056603712
54,0.01207235041339045,0.012062691232076116,0.01550005731702982,0.01549063341414235
55,0.011987684743264119,0.011978410112676897,0.01549970059136966,0.015490594975927181
56,0.011907868039889588,0.011898903060699644,0.015482127916280413,0.015473291774383047
57,0.011881523055281106,0.011872800806885115,0.015469185214023217,0.015460544699483478
58,0.01183577037381752,0.011827244040665362,0.015470095263348251,0.015461610756001254
59,0.011800210038346536,0.01179182431387384,0.015469016691219743,0.0154606459617868
60,0.011773604274970964,0.011765322340478251,0.015468417786630268,0.015460133525569486
61,0.011766214314975739,0.011757992973850046,0.015467757134476573,0.015459487115942642
62,0.01177512583318169,0.011766942602851348,0.015466007973312185,0.01545779385566075
63,0.011742218644393555,0.011734050155780877,0.015461307858916045,0.015453094602918417
